plz	ort	landkreis	bundesland
78267	Aach	Landkreis Konstanz	Baden-Württemberg
54298	Aach	Landkreis Trier-Saarburg	Rheinland-Pfalz
52062	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52064	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52066	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52068	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52070	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52072	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52074	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52076	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52078	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52080	Aachen	Städteregion Aachen	Nordrhein-Westfalen
73430	Aalen	Ostalbkreis	Baden-Württemberg
73431	Aalen	Ostalbkreis	Baden-Württemberg
73432	Aalen	Ostalbkreis	Baden-Württemberg
73433	Aalen	Ostalbkreis	Baden-Württemberg
73434	Aalen	Ostalbkreis	Baden-Württemberg
65326	Aarbergen	Rheingau-Taunus-Kreis	Hessen
25560	Aasbüttel	Kreis Steinburg	Schleswig-Holstein
91183	Abenberg	Landkreis Roth	Bayern
93326	Abensberg	Landkreis Kelheim	Bayern
55767	Abentheuer	Landkreis Birkenfeld	Rheinland-Pfalz
91720	Absberg	Landkreis Weißenburg-Gunzenhausen	Bayern
74232	Abstatt	Landkreis Heilbronn	Baden-Württemberg
99713	Abtsbessingen	Kyffhäuserkreis	Thüringen
73453	Abtsgmünd	Ostalbkreis	Baden-Württemberg
69518	Abtsteinach	Kreis Bergstraße	Hessen
97355	Abtswind	Landkreis Kitzingen	Bayern
55568	Abtweiler	Landkreis Bad Kreuznach	Rheinland-Pfalz
88147	Achberg	Landkreis Ravensburg	Baden-Württemberg
77855	Achern	Ortenaukreis	Baden-Württemberg
28832	Achim	Landkreis Verden	Niedersachsen
94250	Achslach	Landkreis Regen	Bayern
88480	Achstetten	Landkreis Biberach	Baden-Württemberg
56729	Acht	Landkreis Mayen-Koblenz	Rheinland-Pfalz
55767	Achtelsbach	Landkreis Birkenfeld	Rheinland-Pfalz
24239	Achterwehr	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25917	Achtrup	Kreis Nordfriesland	Schleswig-Holstein
73099	Adelberg	Landkreis Göppingen	Baden-Württemberg
37139	Adelebsen	Landkreis Göttingen	Niedersachsen
29352	Adelheidsdorf	Landkreis Celle	Niedersachsen
73486	Adelmannsfelden	Ostalbkreis	Baden-Württemberg
85111	Adelschlag	Landkreis Eichstätt	Bayern
91325	Adelsdorf	Landkreis Erlangen-Höchstadt	Bayern
74740	Adelsheim	Neckar-Odenwald-Kreis	Baden-Württemberg
91587	Adelshofen	Landkreis Ansbach	Bayern
82276	Adelshofen	Landkreis Fürstenfeldbruck	Bayern
86477	Adelsried	Landkreis Augsburg	Bayern
86559	Adelzhausen	Landkreis Aichach-Friedberg	Bayern
53518	Adenau	Landkreis Ahrweiler	Rheinland-Pfalz
67742	Adenbach	Landkreis Kusel	Rheinland-Pfalz
38528	Adenbüttel	Landkreis Gifhorn	Niedersachsen
21365	Adendorf	Landkreis Lüneburg	Niedersachsen
84166	Adlkofen	Landkreis Landshut	Bayern
18211	Admannshagen-Bargeshagen	Landkreis Rostock	Mecklenburg-Vorpommern
08626	Adorf/Vogtland	Vogtlandkreis	Sachsen
25572	Aebtissinwisch	Kreis Steinburg	Schleswig-Holstein
31855	Aerzen	Landkreis Hameln-Pyrmont	Niedersachsen
71563	Affalterbach	Landkreis Ludwigsburg	Baden-Württemberg
86444	Affing	Landkreis Aichach-Friedberg	Bayern
27257	Affinghausen	Landkreis Diepholz	Niedersachsen
54689	Affler	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
21684	Agathenburg	Landkreis Stade	Niedersachsen
25560	Agethorst	Kreis Steinburg	Schleswig-Holstein
74858	Aglasterhausen	Neckar-Odenwald-Kreis	Baden-Württemberg
84168	Aham	Landkreis Landshut	Bayern
48683	Ahaus	Kreis Borken	Nordrhein-Westfalen
27367	Ahausen	Landkreis Rotenburg (Wümme)	Niedersachsen
17375	Ahlbeck	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
29693	Ahlden	Landkreis Heidekreis	Niedersachsen
24358	Ahlefeld-Bistensee	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
59227	Ahlen	Kreis Warendorf	Nordrhein-Westfalen
59229	Ahlen	Kreis Warendorf	Nordrhein-Westfalen
21702	Ahlerstedt	Landkreis Stade	Niedersachsen
06313	Ahlsdorf	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
98553	Ahlstädt	Landkreis Hildburghausen	Thüringen
34292	Ahnatal	Landkreis Kassel	Hessen
24996	Ahneby	Kreis Schleswig-Flensburg	Schleswig-Holstein
29353	Ahnsbeck	Landkreis Celle	Niedersachsen
31708	Ahnsen	Landkreis Schaumburg	Niedersachsen
94345	Aholfing	Landkreis Straubing-Bogen	Bayern
94527	Aholming	Landkreis Deggendorf	Bayern
74744	Ahorn	Main-Tauber-Kreis	Baden-Württemberg
96482	Ahorn	Landkreis Coburg	Bayern
95491	Ahorntal	Landkreis Bayreuth	Bayern
53506	Ahrbrück	Landkreis Ahrweiler	Rheinland-Pfalz
23623	Ahrensbök	Kreis Ostholstein	Schleswig-Holstein
22926	Ahrensburg	Kreis Stormarn	Schleswig-Holstein
16356	Ahrensfelde	Landkreis Barnim	Brandenburg
18320	Ahrenshagen-Daskow	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
25853	Ahrenshöft	Kreis Nordfriesland	Schleswig-Holstein
18347	Ahrenshoop	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
25885	Ahrenviöl	Kreis Nordfriesland	Schleswig-Holstein
24896	Ahrenviölfeld	Kreis Nordfriesland	Schleswig-Holstein
25885	Ahrenviölfeld	Kreis Nordfriesland	Schleswig-Holstein
86551	Aichach	Landkreis Aichach-Friedberg	Bayern
94529	Aicha vorm Wald	Landkreis Passau	Bayern
73101	Aichelberg	Landkreis Göppingen	Baden-Württemberg
86479	Aichen	Landkreis Günzburg	Bayern
78733	Aichhalden	Landkreis Rottweil	Baden-Württemberg
88317	Aichstetten	Landkreis Ravensburg	Baden-Württemberg
72631	Aichtal	Landkreis Esslingen	Baden-Württemberg
73773	Aichwald	Landkreis Esslingen	Baden-Württemberg
94501	Aidenbach	Landkreis Passau	Bayern
97491	Aidhausen	Landkreis Haßberge	Bayern
71134	Aidlingen	Landkreis Böblingen	Baden-Württemberg
84089	Aiglsbach	Landkreis Kelheim	Bayern
56459	Ailertchen	Westerwaldkreis	Rheinland-Pfalz
86447	Aindling	Landkreis Aichach-Friedberg	Bayern
83404	Ainring	Landkreis Berchtesgadener Land	Bayern
89344	Aislingen	Landkreis Dillingen an der Donau	Bayern
94330	Aiterhofen	Landkreis Straubing-Bogen	Bayern
79677	Aitern	Landkreis Lörrach	Baden-Württemberg
88319	Aitrach	Landkreis Ravensburg	Baden-Württemberg
87648	Aitrang	Landkreis Ostallgäu	Bayern
06385	Aken (Elbe)	Landkreis Anhalt-Bitterfeld	Sachsen-Anhalt
06386	Aken (Elbe)	Landkreis Anhalt-Bitterfeld	Sachsen-Anhalt
39615	Aland	Landkreis Stendal	Sachsen-Anhalt
83544	Albaching	Landkreis Rosenheim	Bayern
79774	Albbruck	Landkreis Waldshut	Baden-Württemberg
25767	Albersdorf	Kreis Dithmarschen	Schleswig-Holstein
07646	Albersdorf	Saale-Holzland-Kreis	Thüringen
73095	Albershausen	Landkreis Göppingen	Baden-Württemberg
76857	Albersweiler	Landkreis Südliche Weinstraße	Rheinland-Pfalz
97320	Albertshofen	Landkreis Kitzingen	Bayern
66871	Albessen	Landkreis Kusel	Rheinland-Pfalz
55234	Albig	Landkreis Alzey-Worms	Rheinland-Pfalz
67308	Albisheim (Pfrimm)	Donnersbergkreis	Rheinland-Pfalz
23909	Albsfelde	Kreis Herzogtum Lauenburg	Schleswig-Holstein
72458	Albstadt	Zollernalbkreis	Baden-Württemberg
72459	Albstadt	Zollernalbkreis	Baden-Württemberg
72461	Albstadt	Zollernalbkreis	Baden-Württemberg
52457	Aldenhoven	Kreis Düren	Nordrhein-Westfalen
94501	Aldersbach	Landkreis Passau	Bayern
78554	Aldingen	Landkreis Tuttlingen	Baden-Württemberg
86733	Alerheim	Landkreis Donau-Ries	Bayern
91793	Alesheim	Landkreis Weißenburg-Gunzenhausen	Bayern
86480	Aletshausen	Landkreis Günzburg	Bayern
56859	Alf	Landkreis Cochem-Zell	Rheinland-Pfalz
73553	Alfdorf	Rems-Murr-Kreis	Baden-Württemberg
73655	Alfdorf	Rems-Murr-Kreis	Baden-Württemberg
91236	Alfeld	Landkreis Nürnberger Land	Bayern
31061	Alfeld (Leine)	Landkreis Hildesheim	Niedersachsen
49594	Alfhausen	Landkreis Osnabrück	Niedersachsen
56828	Alflen	Landkreis Cochem-Zell	Rheinland-Pfalz
27432	Alfstedt	Landkreis Rotenburg (Wümme)	Niedersachsen
53347	Alfter	Rhein-Sieg-Kreis	Nordrhein-Westfalen
31191	Algermissen	Landkreis Hildesheim	Niedersachsen
36211	Alheim	Landkreis Hersfeld-Rotenburg	Hessen
56332	Alken	Landkreis Mayen-Koblenz	Rheinland-Pfalz
99310	Alkersleben	Ilm-Kreis	Thüringen
25938	Alkersum	Kreis Nordfriesland	Schleswig-Holstein
55758	Allenbach	Landkreis Birkenfeld	Rheinland-Pfalz
35108	Allendorf	Landkreis Waldeck-Frankenberg	Hessen
56370	Allendorf	Rhein-Lahn-Kreis	Rheinland-Pfalz
07426	Allendorf	Landkreis Saalfeld-Rudolstadt	Thüringen
35469	Allendorf (Lumda)	Landkreis Gießen	Hessen
55595	Allenfeld	Landkreis Bad Kreuznach	Rheinland-Pfalz
78476	Allensbach	Landkreis Konstanz	Baden-Württemberg
90584	Allersberg	Landkreis Roth	Bayern
85391	Allershausen	Landkreis Freising	Bayern
88422	Alleshausen	Landkreis Biberach	Baden-Württemberg
82239	Alling	Landkreis Fürstenfeldbruck	Bayern
86695	Allmannshofen	Landkreis Augsburg	Bayern
88348	Allmannsweiler	Landkreis Biberach	Baden-Württemberg
89604	Allmendingen	Alb-Donau-Kreis	Baden-Württemberg
71573	Allmersbach im Tal	Rems-Murr-Kreis	Baden-Württemberg
06542	Allstedt	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
25821	Almdorf	Kreis Nordfriesland	Schleswig-Holstein
57610	Almersbach	Landkreis Altenkirchen	Rheinland-Pfalz
46519	Alpen	Kreis Wesel	Nordrhein-Westfalen
57642	Alpenrod	Westerwaldkreis	Rheinland-Pfalz
57647	Alpenrod	Westerwaldkreis	Rheinland-Pfalz
99195	Alperstedt	Landkreis Sömmerda	Thüringen
72275	Alpirsbach	Landkreis Freudenstadt	Baden-Württemberg
56237	Alsbach	Westerwaldkreis	Rheinland-Pfalz
64665	Alsbach-Hähnlein	Landkreis Darmstadt-Dieburg	Hessen
52477	Alsdorf	Städteregion Aachen	Nordrhein-Westfalen
57518	Alsdorf	Landkreis Altenkirchen	Rheinland-Pfalz
54668	Alsdorf	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
67821	Alsenz	Donnersbergkreis	Rheinland-Pfalz
36304	Alsfeld	Vogelsbergkreis	Hessen
67577	Alsheim	Landkreis Alzey-Worms	Rheinland-Pfalz
06425	Alsleben	Salzlandkreis	Sachsen-Anhalt
73776	Altbach	Landkreis Esslingen	Baden-Württemberg
24848	Alt Bennebek	Kreis Schleswig-Flensburg	Schleswig-Holstein
18233	Alt Bukow	Landkreis Rostock	Mecklenburg-Vorpommern
03229	Altdöbern	Landkreis Oberspreewald-Lausitz	Brandenburg
84032	Altdorf	Landkreis Landshut	Bayern
71155	Altdorf	Landkreis Böblingen	Baden-Württemberg
72655	Altdorf	Landkreis Esslingen	Baden-Württemberg
67482	Altdorf	Landkreis Südliche Weinstraße	Rheinland-Pfalz
90518	Altdorf bei Nürnberg	Landkreis Nürnberger Land	Bayern
24782	Alt Duvenstedt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
24791	Alt Duvenstedt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
24811	Alt Duvenstedt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
18573	Altefähr	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
93087	Alteglofsheim	Landkreis Regensburg	Bayern
58762	Altena	Märkischer Kreis	Nordrhein-Westfalen
53505	Altenahr	Landkreis Ahrweiler	Rheinland-Pfalz
55585	Altenbamberg	Landkreis Bad Kreuznach	Rheinland-Pfalz
33184	Altenbeken	Kreis Paderborn	Nordrhein-Westfalen
01773	Altenberg	Landkreis Sächsische Schweiz-Osterzgebirge	Sachsen
01778	Altenberg	Landkreis Sächsische Schweiz-Osterzgebirge	Sachsen
07768	Altenberga	Saale-Holzland-Kreis	Thüringen
48341	Altenberge	Kreis Steinfurt	Nordrhein-Westfalen
07338	Altenbeuthen	Landkreis Saalfeld-Rudolstadt	Thüringen
97901	Altenbuch	Landkreis Miltenberg	Bayern
04600	Altenburg	Landkreis Altenburger Land	Thüringen
65624	Altendiez	Rhein-Lahn-Kreis	Rheinland-Pfalz
92540	Altendorf	Landkreis Schwandorf	Bayern
96146	Altendorf	Landkreis Bamberg	Bayern
66885	Altenglan	Landkreis Kusel	Rheinland-Pfalz
17091	Altenhagen	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
39343	Altenhausen	Landkreis Börde	Sachsen-Anhalt
24340	Altenhof	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
17209	Altenhof	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
24161	Altenholz	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
66903	Altenkirchen	Landkreis Kusel	Rheinland-Pfalz
18556	Altenkirchen	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
57610	Altenkirchen (Westerwald)	Landkreis Altenkirchen	Rheinland-Pfalz
23730	Altenkrempe	Kreis Ostholstein	Schleswig-Holstein
96264	Altenkunstadt	Landkreis Lichtenfels	Bayern
83352	Altenmarkt an der Alz	Landkreis Traunstein	Bayern
29575	Altenmedingen	Landkreis Uelzen	Niedersachsen
25335	Altenmoor	Kreis Steinburg	Schleswig-Holstein
86450	Altenmünster	Landkreis Augsburg	Bayern
18445	Altenpleen	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
72657	Altenriet	Landkreis Esslingen	Baden-Württemberg
63674	Altenstadt	Wetteraukreis	Hessen
86972	Altenstadt	Landkreis Weilheim-Schongau	Bayern
89281	Altenstadt	Landkreis Neu-Ulm	Bayern
92665	Altenstadt an der Waldnaab	Landkreis Neustadt an der Waldnaab	Bayern
72213	Altensteig	Landkreis Calw	Baden-Württemberg
93177	Altenthann	Landkreis Regensburg	Bayern
17087	Altentreptow	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
56288	Alterkülz	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
97237	Altertheim	Landkreis Würzburg	Bayern
84169	Altfraunhofen	Landkreis Landshut	Bayern
82278	Althegnenberg	Landkreis Fürstenfeldbruck	Bayern
88499	Altheim	Landkreis Biberach	Baden-Württemberg
89605	Altheim	Alb-Donau-Kreis	Baden-Württemberg
89174	Altheim (Alb)	Alb-Donau-Kreis	Baden-Württemberg
75382	Althengstett	Landkreis Calw	Baden-Württemberg
66484	Althornbach	Landkreis Südwestpfalz	Rheinland-Pfalz
71566	Althütte	Rems-Murr-Kreis	Baden-Württemberg
16247	Althüttendorf	Landkreis Barnim	Brandenburg
17179	Altkalen	Landkreis Rostock	Mecklenburg-Vorpommern
19288	Alt Krenzlin	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
15345	Altlandsberg	Landkreis Märkisch-Oderland	Brandenburg
56858	Altlay	Landkreis Cochem-Zell	Rheinland-Pfalz
67316	Altleiningen	Landkreis Bad Dürkheim	Rheinland-Pfalz
67317	Altleiningen	Landkreis Bad Dürkheim	Rheinland-Pfalz
68804	Altlußheim	Rhein-Neckar-Kreis	Baden-Württemberg
93336	Altmannstein	Landkreis Eichstätt	Bayern
39606	Altmärkische Höhe	Landkreis Stendal	Sachsen-Anhalt
39615	Altmärkische Höhe	Landkreis Stendal	Sachsen-Anhalt
39615	Altmärkische Wische	Landkreis Stendal	Sachsen-Anhalt
19069	Alt Meteln	Landkreis Nordwestmecklenburg	Mecklenburg-Vorpommern
09648	Altmittweida	Landkreis Mittelsachsen	Sachsen
23881	Alt Mölln	Kreis Herzogtum Lauenburg	Schleswig-Holstein
85250	Altomünster	Landkreis Dachau	Bayern
84503	Altötting	Landkreis Altötting	Bayern
54518	Altrich	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
67122	Altrip	Rhein-Pfalz-Kreis	Rheinland-Pfalz
54636	Altscheid	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
17214	Alt Schwerin	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
88361	Altshausen	Landkreis Ravensburg	Baden-Württemberg
56858	Altstrimmig	Landkreis Cochem-Zell	Rheinland-Pfalz
17166	Alt Sührkow	Landkreis Rostock	Mecklenburg-Vorpommern
17129	Alt Tellin	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
15328	Alt Tucheband	Landkreis Märkisch-Oderland	Brandenburg
87452	Altusried	Landkreis Oberallgäu	Bayern
17375	Altwarp	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
55469	Altweidelbach	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
17379	Altwigshagen	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
19230	Alt Zachun	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
15913	Alt Zauche-Wußwerk	Landkreis Dahme-Spreewald	Brandenburg
25486	Alveslohe	Kreis Segeberg	Schleswig-Holstein
63755	Alzenau	Landkreis Aschaffenburg	Bayern
55232	Alzey	Landkreis Alzey-Worms	Rheinland-Pfalz
92224	Amberg		Bayern
86854	Amberg	Landkreis Unterallgäu	Bayern
21385	Amelinghausen	Landkreis Lüneburg	Niedersachsen
83123	Amerang	Landkreis Rosenheim	Bayern
86735	Amerdingen	Landkreis Donau-Ries	Bayern
99439	Am Ettersberg	Landkreis Weimarer Land	Thüringen
39393	Am Großen Bruch	Landkreis Börde	Sachsen-Anhalt
54675	Ammeldingen an der Our	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
54673	Ammeldingen bei Neuerburg	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
15838	Am Mellensee	Landkreis Teltow-Fläming	Brandenburg
72119	Ammerbuch	Landkreis Tübingen	Baden-Württemberg
90614	Ammerndorf	Landkreis Fürth	Bayern
22949	Ammersbek	Kreis Stormarn	Schleswig-Holstein
92260	Ammerthal	Landkreis Amberg-Sulzbach	Bayern
37345	Am Ohmberg	Landkreis Eichsfeld	Thüringen
35287	Amöneburg	Landkreis Marburg-Biedenkopf	Hessen
63916	Amorbach	Landkreis Miltenberg	Bayern
84539	Ampfing	Landkreis Mühldorf am Inn	Bayern
18233	Am Salzhaff	Landkreis Rostock	Mecklenburg-Vorpommern
73340	Amstetten	Alb-Donau-Kreis	Baden-Württemberg
99831	Amt Creuzburg	Wartburgkreis	Thüringen
19273	Amt Neuhaus	Landkreis Lüneburg	Niedersachsen
09439	Amtsberg	Erzgebirgskreis	Sachsen
99102	Amt Wachsenburg	Ilm-Kreis	Thüringen
99334	Amt Wachsenburg	Ilm-Kreis	Thüringen
88279	Amtzell	Landkreis Ravensburg	Baden-Württemberg
82346	Andechs	Landkreis Starnberg	Bayern
27446	Anderlingen	Landkreis Rotenburg (Wümme)	Niedersachsen
56626	Andernach	Landkreis Mayen-Koblenz	Rheinland-Pfalz
06647	An der Poststraße	Burgenlandkreis	Sachsen-Anhalt
06577	An der Schmücke	Kyffhäuserkreis	Thüringen
49832	Andervenne	Landkreis Emsland	Niedersachsen
99189	Andisleben	Landkreis Sömmerda	Thüringen
74918	Angelbachtal	Rhein-Neckar-Kreis	Baden-Württemberg
35719	Angelburg	Landkreis Marburg-Biedenkopf	Hessen
83454	Anger	Landkreis Berchtesgadener Land	Bayern
16278	Angermünde	Landkreis Uckermark	Brandenburg
39326	Angern	Landkreis Börde	Sachsen-Anhalt
39517	Angern	Landkreis Börde	Sachsen-Anhalt
56584	Anhausen	Landkreis Neuwied	Rheinland-Pfalz
17219	Ankershagen	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
17389	Anklam	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
49577	Ankum	Landkreis Osnabrück	Niedersachsen
09456	Annaberg-Buchholz	Erzgebirgskreis	Sachsen
06925	Annaburg	Landkreis Wittenberg	Sachsen-Anhalt
76855	Annweiler am Trifels	Landkreis Südliche Weinstraße	Rheinland-Pfalz
59609	Anröchte	Kreis Soest	Nordrhein-Westfalen
99976	Anrode	Unstrut-Hainich-Kreis	Thüringen
91522	Ansbach		Bayern
56729	Anschau	Landkreis Mayen-Koblenz	Rheinland-Pfalz
82387	Antdorf	Landkreis Weilheim-Schongau	Bayern
36326	Antrifttal	Vogelsbergkreis	Hessen
53533	Antweiler	Landkreis Ahrweiler	Rheinland-Pfalz
85646	Anzing	Landkreis Ebersberg	Bayern
31552	Apelern	Landkreis Schaumburg	Niedersachsen
26689	Apen	Landkreis Ammerland	Niedersachsen
38486	Apenburg-Winterfeld	Altmarkkreis Salzwedel	Sachsen-Anhalt
21641	Apensen	Landkreis Stade	Niedersachsen
86974	Apfeldorf	Landkreis Landsberg am Lech	Bayern
87742	Apfeltrach	Landkreis Unterallgäu	Bayern
99510	Apolda	Landkreis Weimarer Land	Thüringen
21279	Appel	Landkreis Harburg	Niedersachsen
25482	Appen	Kreis Pinneberg	Schleswig-Holstein
55437	Appenheim	Landkreis Mainz-Bingen	Rheinland-Pfalz
77767	Appenweier	Ortenaukreis	Baden-Württemberg
56769	Arbach	Landkreis Vulkaneifel	Rheinland-Pfalz
91722	Arberg	Landkreis Ansbach	Bayern
53533	Aremberg	Landkreis Ahrweiler	Rheinland-Pfalz
39619	Arendsee (Altmark)	Altmarkkreis Salzwedel	Sachsen-Anhalt
54518	Arenrath	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
37318	Arenshausen	Landkreis Eichsfeld	Thüringen
86561	Aresing	Landkreis Neuburg-Schrobenhausen	Bayern
56729	Arft	Landkreis Mayen-Koblenz	Rheinland-Pfalz
88260	Argenbühl	Landkreis Ravensburg	Baden-Württemberg
55595	Argenschwang	Landkreis Bad Kreuznach	Rheinland-Pfalz
55496	Argenthal	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
37627	Arholzen	Landkreis Holzminden	Niedersachsen
25767	Arkebek	Kreis Dithmarschen	Schleswig-Holstein
25860	Arlewatt	Kreis Nordfriesland	Schleswig-Holstein
55288	Armsheim	Landkreis Alzey-Worms	Rheinland-Pfalz
24616	Armstedt	Kreis Segeberg	Schleswig-Holstein
21769	Armstorf	Landkreis Cuxhaven	Niedersachsen
93471	Arnbruck	Landkreis Regen	Bayern
39596	Arneburg	Landkreis Stendal	Sachsen-Anhalt
24399	Arnis	Kreis Schleswig-Flensburg	Schleswig-Holstein
59755	Arnsberg	Hochsauerlandkreis	Nordrhein-Westfalen
59757	Arnsberg	Hochsauerlandkreis	Nordrhein-Westfalen
59759	Arnsberg	Hochsauerlandkreis	Nordrhein-Westfalen
59821	Arnsberg	Hochsauerlandkreis	Nordrhein-Westfalen
59823	Arnsberg	Hochsauerlandkreis	Nordrhein-Westfalen
93473	Arnschwang	Landkreis Cham	Bayern
01477	Arnsdorf	Landkreis Bautzen	Sachsen
56244	Arnshöfen	Westerwaldkreis	Rheinland-Pfalz
99310	Arnstadt	Ilm-Kreis	Thüringen
97450	Arnstein	Landkreis Main-Spessart	Bayern
06456	Arnstein	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
94424	Arnstorf	Landkreis Rottal-Inn	Bayern
24634	Arpsdorf	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
93474	Arrach	Landkreis Cham	Bayern
06556	Artern	Kyffhäuserkreis	Thüringen
21380	Artlenburg	Landkreis Lüneburg	Niedersachsen
56337	Arzbach	Rhein-Lahn-Kreis	Rheinland-Pfalz
04886	Arzberg	Landkreis Nordsachsen	Sachsen
95659	Arzberg	Landkreis Wunsiedel im Fichtelgebirge	Bayern
54687	Arzfeld	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
53567	Asbach	Landkreis Neuwied	Rheinland-Pfalz
55758	Asbach	Landkreis Birkenfeld	Rheinland-Pfalz
86663	Asbach-Bäumenheim	Landkreis Donau-Ries	Bayern
37318	Asbach-Sickenberg	Landkreis Eichsfeld	Thüringen
94347	Ascha	Landkreis Straubing-Bogen	Bayern
63739	Aschaffenburg		Bayern
63741	Aschaffenburg		Bayern
63743	Aschaffenburg		Bayern
84544	Aschau am Inn	Landkreis Mühldorf am Inn	Bayern
83229	Aschau im Chiemgau	Landkreis Rosenheim	Bayern
67753	Aschbach	Landkreis Kusel	Rheinland-Pfalz
59387	Ascheberg	Kreis Coesfeld	Nordrhein-Westfalen
24326	Ascheberg	Kreis Plön	Schleswig-Holstein
24358	Ascheffel	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
06449	Aschersleben	Salzlandkreis	Sachsen-Anhalt
85609	Aschheim	Landkreis München	Bayern
21271	Asendorf	Landkreis Harburg	Niedersachsen
27330	Asendorf	Landkreis Diepholz	Niedersachsen
71546	Aspach	Rems-Murr-Kreis	Baden-Württemberg
71679	Asperg	Landkreis Ludwigsburg	Baden-Württemberg
55459	Aspisheim	Landkreis Mainz-Bingen	Rheinland-Pfalz
97959	Assamstadt	Main-Tauber-Kreis	Baden-Württemberg
89176	Asselfingen	Alb-Donau-Kreis	Baden-Württemberg
35614	Aßlar	Lahn-Dill-Kreis	Hessen
85617	Aßling	Landkreis Ebersberg	Bayern
57627	Astert	Westerwaldkreis	Rheinland-Pfalz
57439	Attendorn	Kreis Olpe	Nordrhein-Westfalen
56370	Attenhausen	Rhein-Lahn-Kreis	Rheinland-Pfalz
84091	Attenhofen	Landkreis Kelheim	Bayern
85395	Attenkirchen	Landkreis Freising	Bayern
88448	Attenweiler	Landkreis Biberach	Baden-Württemberg
94348	Atting	Landkreis Straubing-Bogen	Bayern
57629	Atzelgift	Westerwaldkreis	Rheinland-Pfalz
79280	Au	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
76474	Au am Rhein	Landkreis Rastatt	Baden-Württemberg
97239	Aub	Landkreis Würzburg	Bayern
97633	Aubstadt	Landkreis Rhön-Grabfeld	Bayern
56766	Auderath	Landkreis Cochem-Zell	Rheinland-Pfalz
08280	Aue-Bad Schlema	Erzgebirgskreis	Sachsen
08301	Aue-Bad Schlema	Erzgebirgskreis	Sachsen
56357	Auel	Rhein-Lahn-Kreis	Rheinland-Pfalz
55569	Auen	Landkreis Bad Kreuznach	Rheinland-Pfalz
98673	Auengrund	Landkreis Hildburghausen	Thüringen
71549	Auenwald	Rems-Murr-Kreis	Baden-Württemberg
09392	Auerbach	Erzgebirgskreis	Sachsen
94530	Auerbach	Landkreis Deggendorf	Bayern
91275	Auerbach in der Oberpfalz	Landkreis Amberg-Sulzbach	Bayern
08209	Auerbach/Vogtland	Vogtlandkreis	Sachsen
31749	Auetal	Landkreis Schaumburg	Niedersachsen
93089	Aufhausen	Landkreis Regensburg	Bayern
91347	Aufseß	Landkreis Bayreuth	Bayern
79424	Auggen	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
